142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,144,2022/02/09,22:09:21,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,81,2022/02/09,22:09:21,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,A,TCP,128,40,2022/02/09,22:09:21,NULL
142.250.82.149,192.168.1.2,19305,65156,O,A,TCP,120,40,2022/02/09,22:09:21,NULL
192.168.1.2,142.250.82.149,65156,19305,W,PA,TCP,128,81,2022/02/09,22:09:21,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1189,2022/02/09,22:09:22,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,42,2022/02/09,22:09:22,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,83,2022/02/09,22:09:22,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,A,TCP,128,40,2022/02/09,22:09:22,NULL
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,42,2022/02/09,22:09:22,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,98,2022/02/09,22:09:23,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,A,TCP,128,40,2022/02/09,22:09:23,NULL
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:23,NULL
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,42,2022/02/09,22:09:23,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,PA,TCP,120,130,2022/02/09,22:09:23,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1190,2022/02/09,22:09:23,[FLAG]
192.168.1.2,142.250.82.149,65156,19305,W,A,TCP,128,40,2022/02/09,22:09:24,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1190,2022/02/09,22:09:24,[FLAG]
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1190,2022/02/09,22:09:24,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:25,NULL
192.168.1.2,142.250.82.149,65156,19305,W,PA,TCP,128,84,2022/02/09,22:09:25,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,A,TCP,120,40,2022/02/09,22:09:25,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1190,2022/02/09,22:09:26,[FLAG]
142.250.82.149,192.168.1.2,19305,65200,O,A,TCP,120,40,2022/02/09,22:09:26,NULL
192.168.1.2,142.250.82.149,65200,19305,W,PA,TCP,128,1190,2022/02/09,22:09:26,[FLAG]
192.168.1.2,142.250.82.149,65438,19305,W,PA,TCP,128,388,2022/02/09,22:59:05,[FLAG]
142.250.82.149,192.168.1.2,19305,65438,O,A,TCP,120,40,2022/02/09,22:59:05,[FLAG]
142.250.82.149,192.168.1.2,19305,65156,O,A,TCP,120,40,2022/02/09,22:59:05,[FLAG]
