Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,140,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,145,2022/02/08,19:52:19,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,144,2022/02/08,19:52:19,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,158,2022/02/08,19:52:19,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,160,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:19,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,67,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,98,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1209,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,86,2022/02/08,19:52:20,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,60819,O,NULL,UDP,116,94,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,163,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,142,2022/02/08,19:52:20,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,143,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,142,2022/02/08,19:52:21,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,153,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1216,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1216,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1216,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1216,2022/02/08,19:52:21,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1216,2022/02/08,19:52:21,NULL
