Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.1.3,40.126.17.135,51961,443,W,A,TCP,128,40,2022/02/12,09:59:39,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,PA,TCP,128,71,2022/02/12,09:59:40,[PORT]
192.168.1.3,40.126.17.135,51961,443,W,FA,TCP,128,40,2022/02/12,09:59:40,[PORT]
40.126.17.135,192.168.1.3,443,51961,O,A,TCP,109,40,2022/02/12,09:59:41,NULL
192.168.1.3,192.168.1.1,55331,53,W,NULL,UDP,128,66,2022/02/12,09:59:41,NULL
192.168.1.1,192.168.1.3,53,55331,L,NULL,UDP,64,125,2022/02/12,09:59:53,NULL
192.168.1.3,52.152.90.172,51962,443,W,S,TCP,128,52,2022/02/12,09:59:53,[PORT]
52.152.90.172,192.168.1.3,443,51962,O,SA,TCP,103,52,2022/02/12,09:59:53,NULL
192.168.1.3,52.152.90.172,51962,443,W,A,TCP,128,40,2022/02/12,09:59:53,[PORT]
192.168.1.3,52.152.90.172,51962,443,W,PA,TCP,128,227,2022/02/12,09:59:54,[PORT]
52.152.90.172,192.168.1.3,443,51962,O,A,TCP,103,1500,2022/02/12,09:59:54,NULL
52.152.90.172,192.168.1.3,443,51962,O,A,TCP,103,1500,2022/02/12,09:59:54,NULL
52.152.90.172,192.168.1.3,443,51962,O,A,TCP,103,1500,2022/02/12,09:59:54,NULL
52.152.90.172,192.168.1.3,443,51962,O,A,TCP,103,1500,2022/02/12,09:59:54,NULL
52.152.90.172,192.168.1.3,443,51962,O,PA,TCP,103,329,2022/02/12,09:59:54,NULL
192.168.1.3,52.152.90.172,51962,443,W,A,TCP,128,40,2022/02/12,09:59:54,[PORT]
192.168.1.3,52.152.90.172,51962,443,W,PA,TCP,128,198,2022/02/12,09:59:55,[PORT]
52.152.90.172,192.168.1.3,443,51962,O,PA,TCP,103,91,2022/02/12,09:59:55,NULL
192.168.1.3,52.152.90.172,51962,443,W,A,TCP,128,1480,2022/02/12,09:59:55,[PORT]
192.168.1.3,52.152.90.172,51962,443,W,PA,TCP,128,127,2022/02/12,09:59:56,[PORT]
52.152.90.172,192.168.1.3,443,51962,O,A,TCP,103,40,2022/02/12,09:59:56,NULL
52.152.90.172,192.168.1.3,443,51962,O,PA,TCP,103,238,2022/02/12,09:59:56,NULL
192.168.1.3,52.152.90.172,51962,443,W,FA,TCP,128,40,2022/02/12,09:59:56,[PORT]
52.152.90.172,192.168.1.3,443,51962,O,FA,TCP,103,40,2022/02/12,09:59:57,NULL
192.168.1.3,52.152.90.172,51962,443,W,A,TCP,128,40,2022/02/12,09:59:57,[PORT]
192.168.1.3,20.44.229.112,63498,443,W,FA,TCP,128,40,2022/02/12,09:59:57,[PORT]
20.44.229.112,192.168.1.3,443,63498,O,FA,TCP,112,40,2022/02/12,09:59:58,NULL
192.168.1.3,20.44.229.112,63498,443,W,A,TCP,128,40,2022/02/12,09:59:58,[PORT]
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,09:59:59,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:00:06,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,41,2022/02/12,10:00:06,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,40,2022/02/12,10:00:06,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,41,2022/02/12,10:00:06,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,2022/02/12,10:00:06,NULL
5.62.44.219,192.168.1.3,443,51960,O,FA,TCP,48,40,2022/02/12,10:00:20,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,10:00:20,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,PA,TCP,48,71,2022/02/12,10:00:25,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,40,2022/02/12,10:00:25,[PORT]
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:00:26,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:00:26,NULL
5.62.44.219,192.168.1.3,443,55588,O,FA,TCP,48,40,2022/02/12,10:00:26,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,10:01:02,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,PA,TCP,48,71,2022/02/12,10:01:02,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,40,2022/02/12,10:01:02,[PORT]
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:01:03,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:01:05,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,41,2022/02/12,10:01:05,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,A,TCP,48,40,2022/02/12,10:01:05,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:07,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:07,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,41,2022/02/12,10:01:11,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,A,TCP,48,40,2022/02/12,10:01:11,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:16,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:43,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:43,NULL
192.168.1.3,5.62.44.219,51960,443,W,A,TCP,128,41,2022/02/12,10:01:50,[PORT]
5.62.44.219,192.168.1.3,443,51960,O,R,TCP,48,40,2022/02/12,10:01:51,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:55,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:01:55,NULL
192.168.1.3,5.62.44.219,55588,443,W,A,TCP,128,41,2022/02/12,10:01:56,[PORT]
5.62.44.219,192.168.1.3,443,55588,O,R,TCP,48,40,2022/02/12,10:01:56,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,10:01:58,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:01:58,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:01:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:01:58,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,165,2022/02/12,10:01:59,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:02:01,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:02:01,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:02:01,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:03:39,NULL
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:03:39,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:03:39,NULL
192.168.1.3,192.168.1.1,52671,53,W,NULL,UDP,128,59,2022/02/12,10:04:16,NULL
192.168.1.1,192.168.1.3,53,52671,L,NULL,UDP,64,164,2022/02/12,10:04:16,NULL
192.168.1.3,23.15.34.64,51963,80,W,S,TCP,128,52,2022/02/12,10:04:16,[PORT]
23.15.34.64,192.168.1.3,80,51963,O,SA,TCP,55,52,2022/02/12,10:04:16,NULL
192.168.1.3,23.15.34.64,51963,80,W,A,TCP,128,40,2022/02/12,10:04:21,[PORT]
192.168.1.3,23.15.34.64,51963,80,W,PA,TCP,128,122,2022/02/12,10:04:21,[PORT]
23.15.34.64,192.168.1.3,80,51963,O,A,TCP,55,40,2022/02/12,10:04:21,NULL
23.15.34.64,192.168.1.3,80,51963,O,PA,TCP,55,191,2022/02/12,10:04:22,NULL
192.168.1.3,23.15.34.64,51963,80,W,FA,TCP,128,40,2022/02/12,10:04:22,[PORT]
23.15.34.64,192.168.1.3,80,51963,O,FA,TCP,55,40,2022/02/12,10:04:22,NULL
192.168.1.3,23.15.34.64,51963,80,W,A,TCP,128,40,2022/02/12,10:04:22,[PORT]
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:04:22,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:05:01,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,221,2022/02/12,10:05:01,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:05:01,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:05:02,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,10:05:02,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:05:02,NULL
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,1500,2022/02/12,10:05:02,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:05:02,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,253,2022/02/12,10:05:02,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:05:02,[PORT]
